"","libcon7","fracking"
"1",3,2
"2",2,3
"3",2,3
"4",3,1
"5",2,2
"6",3,3
"7",2,2
"8",2,3
"9",3,3
"10",3,3
"11",3,2
"12",2,3
"13",3,3
"14",3,2
"15",2,3
"16",2,3
"17",2,2
"18",2,3
"19",2,3
"20",3,2
"21",2,3
"22",3,2
"23",2,3
"24",2,3
"25",2,3
"26",3,3
"27",2,3
"28",2,3
"29",2,2
"30",3,3
"31",3,2
"32",2,3
"33",1,3
"34",3,2
"35",2,3
"36",2,3
"37",3,1
"38",2,2
"39",2,3
"40",3,3
"41",2,3
"42",3,3
"43",2,3
"44",2,3
"45",3,3
"46",2,3
"47",3,2
"48",3,3
"49",3,2
"50",2,3
"51",3,3
"52",1,2
"53",3,3
"54",2,2
"55",3,2
"56",3,3
"57",2,3
"58",3,3
"59",3,2
"60",3,3
"61",3,2
"62",2,2
"63",3,2
"64",3,2
"65",1,3
"66",3,3
"67",2,2
"68",3,3
"69",2,3
"70",3,3
"71",1,3
"72",2,3
"73",2,3
"74",2,2
"75",3,1
"76",2,3
"77",2,3
"78",1,3
"79",1,3
"80",3,3
"81",3,2
"82",3,2
"83",1,3
"84",1,3
"85",3,1
"86",2,2
"87",1,3
"88",1,3
"89",3,2
"90",2,2
"91",3,3
"92",2,2
"93",2,3
"94",3,2
"95",2,1
"96",2,3
"97",3,2
"98",2,3
"99",1,3
"100",3,2
"101",3,2
"102",2,1
"103",2,3
"104",3,2
"105",2,2
"106",3,2
"107",2,3
"108",2,3
"109",3,2
"110",3,3
"111",3,1
"112",3,2
"113",3,2
"114",3,2
"115",3,2
"116",3,3
"117",2,2
"118",3,3
"119",2,3
"120",3,3
"121",3,1
"122",3,2
"123",2,2
"124",1,3
"125",3,3
"126",3,3
"127",2,1
"128",3,1
"129",3,2
"130",3,1
"131",3,2
"132",3,3
"133",3,1
"134",1,3
"135",2,3
"136",3,3
"137",1,3
"138",3,3
"139",3,3
"140",2,3
"141",2,3
"142",3,2
"143",3,3
"144",3,2
"145",3,3
"146",3,2
"147",2,2
"148",2,3
"149",3,2
"150",2,3
"151",3,2
"152",3,2
"153",3,2
"154",3,2
"155",2,3
"156",2,2
"157",2,3
"158",2,3
"159",3,2
"160",3,3
"161",1,2
"162",3,3
"163",2,3
"164",1,3
"165",2,3
"166",1,3
"167",3,1
"168",2,3
"169",2,2
"170",1,3
"171",1,3
"172",3,2
"173",1,3
"174",1,3
"175",2,3
"176",3,3
"177",3,2
"178",3,3
"179",2,2
"180",1,3
"181",3,2
"182",3,2
"183",3,3
"184",2,3
"185",3,3
"186",2,3
"187",3,3
"188",3,3
"189",2,1
"190",2,3
"191",3,2
"192",3,1
"193",2,2
"194",3,1
"195",2,3
"196",3,1
"197",2,3
"198",3,3
"199",2,3
"200",2,2
"201",3,2
"202",2,3
"203",3,3
"204",3,2
"205",3,1
"206",3,2
"207",1,3
"208",2,2
"209",1,3
"210",3,3
"211",2,2
"212",3,3
"213",3,3
"214",1,3
"215",3,3
"216",3,1
"217",3,2
"218",2,2
"219",1,3
"220",3,3
"221",2,3
"222",3,2
"223",3,3
"224",3,2
"225",2,3
"226",3,3
"227",2,3
"228",2,3
"229",2,3
"230",1,3
"231",1,3
"232",3,3
"233",2,3
"234",2,3
"235",2,3
"236",3,2
"237",2,3
"238",3,1
"239",2,3
"240",3,2
"241",3,1
"242",1,3
"243",1,3
"244",2,3
"245",2,3
"246",2,2
"247",3,3
"248",3,2
"249",3,3
"250",1,3
"251",3,3
"252",2,3
"253",3,3
"254",3,2
"255",3,2
"256",3,3
"257",3,3
"258",3,3
"259",3,3
"260",2,3
"261",2,3
"262",3,2
"263",2,2
"264",2,3
"265",1,3
"266",3,3
"267",3,3
"268",3,2
"269",1,3
"270",1,3
"271",3,3
"272",1,3
"273",3,3
"274",3,3
"275",2,2
"276",1,3
"277",3,3
"278",2,2
"279",2,3
"280",1,3
"281",1,3
"282",2,3
"283",3,3
"284",3,2
"285",1,3
"286",3,3
"287",3,3
"288",3,3
"289",2,1
"290",3,3
"291",3,2
"292",3,3
"293",2,3
"294",3,2
"295",3,3
"296",2,2
"297",3,3
"298",1,2
"299",3,3
"300",2,3
"301",1,3
"302",3,3
"303",3,3
"304",2,3
"305",3,2
"306",1,3
"307",2,3
"308",2,3
"309",3,3
"310",3,2
"311",3,3
"312",3,3
"313",3,2
"314",2,3
"315",3,3
"316",3,2
"317",3,2
"318",2,3
"319",3,3
"320",3,2
"321",3,3
"322",3,1
"323",2,3
"324",2,3
"325",1,3
"326",2,3
"327",3,3
"328",3,2
"329",2,3
"330",3,2
"331",2,2
"332",3,3
"333",2,3
"334",2,2
"335",2,3
"336",3,1
"337",1,3
"338",3,2
"339",2,3
"340",2,2
"341",3,1
"342",3,3
"343",3,2
"344",1,2
"345",1,2
"346",2,3
"347",3,3
"348",3,2
"349",3,2
"350",3,3
"351",3,2
"352",3,2
"353",3,2
"354",1,2
"355",2,3
"356",3,2
"357",2,3
"358",2,3
"359",2,3
"360",2,3
"361",2,3
"362",3,2
"363",3,2
"364",2,3
"365",3,3
"366",2,3
"367",2,3
"368",2,3
"369",2,3
"370",3,2
"371",3,3
"372",2,3
"373",2,2
"374",3,3
"375",3,2
"376",2,1
"377",2,3
"378",3,2
"379",3,3
"380",1,3
"381",2,3
"382",3,3
"383",3,3
"384",3,2
"385",3,3
"386",3,3
"387",3,3
"388",2,3
"389",3,2
"390",3,3
"391",2,2
"392",3,2
"393",2,3
"394",2,2
"395",1,3
"396",3,2
"397",3,3
"398",2,3
"399",3,3
"400",1,3
"401",1,3
"402",2,3
"403",3,3
"404",3,2
"405",3,2
"406",2,3
"407",2,3
"408",3,3
"409",3,2
"410",1,3
"411",3,2
"412",3,3
"413",2,2
"414",1,3
"415",3,2
"416",3,1
"417",1,3
"418",1,3
"419",1,3
"420",3,2
"421",2,1
"422",3,3
"423",2,2
"424",2,3
"425",3,1
"426",2,3
"427",2,2
"428",2,1
"429",2,3
"430",1,3
"431",2,3
"432",2,3
"433",3,2
"434",2,3
"435",3,2
"436",2,2
"437",3,3
"438",1,2
"439",3,2
"440",3,3
"441",2,3
"442",1,3
"443",2,3
"444",3,3
"445",2,3
"446",3,1
"447",3,1
"448",2,3
"449",2,3
"450",2,3
"451",3,3
"452",2,3
"453",2,2
"454",2,2
"455",2,2
"456",3,2
"457",3,3
"458",3,3
"459",2,3
"460",3,3
"461",3,2
"462",2,3
"463",2,3
"464",3,2
"465",3,3
"466",3,3
"467",1,3
"468",3,3
"469",3,3
"470",3,3
"471",3,3
"472",2,2
"473",1,3
"474",2,2
"475",2,1
"476",2,3
"477",1,3
"478",3,2
"479",2,3
"480",2,3
"481",1,3
"482",3,2
"483",3,3
"484",3,1
"485",2,2
"486",3,1
"487",3,3
"488",1,3
"489",2,3
"490",3,2
"491",2,3
"492",2,3
"493",1,2
"494",2,3
"495",2,3
"496",3,3
"497",1,3
"498",3,2
"499",3,3
"500",2,2
"501",3,3
"502",2,3
"503",1,2
"504",2,3
"505",2,2
"506",3,3
"507",3,2
"508",3,1
"509",1,3
"510",3,2
"511",3,3
"512",3,3
"513",3,1
"514",2,3
"515",2,3
"516",3,2
"517",3,3
"518",3,3
"519",2,3
"520",2,2
"521",2,2
"522",2,3
"523",3,2
"524",2,3
"525",2,3
"526",3,3
"527",3,2
"528",3,1
"529",2,3
"530",3,3
"531",2,3
"532",3,2
"533",2,3
"534",2,2
"535",2,3
"536",3,3
"537",3,2
"538",2,3
"539",1,2
"540",3,1
"541",3,3
"542",1,3
"543",1,3
"544",3,3
"545",3,3
"546",2,2
"547",1,3
"548",2,3
"549",3,2
"550",1,2
"551",3,3
"552",2,3
"553",2,2
"554",3,2
"555",3,3
"556",3,3
"557",3,3
"558",2,3
"559",2,3
"560",3,1
"561",3,3
"562",1,3
"563",3,2
"564",3,3
"565",3,3
"566",1,3
"567",3,2
"568",3,2
"569",2,3
"570",2,1
"571",2,3
"572",3,3
"573",3,1
"574",1,3
"575",3,2
"576",1,3
"577",3,2
"578",2,3
"579",3,2
"580",3,1
"581",1,3
"582",2,2
"583",3,3
"584",1,3
"585",1,3
"586",3,2
"587",3,3
"588",3,3
"589",2,1
"590",3,3
"591",3,2
"592",2,2
"593",2,1
"594",2,3
"595",3,2
"596",3,2
"597",2,3
"598",2,1
"599",3,3
"600",1,2
"601",3,3
"602",3,1
"603",2,2
"604",2,3
"605",2,3
"606",2,3
"607",3,2
"608",2,2
"609",2,3
"610",3,2
"611",3,2
"612",2,3
"613",3,3
"614",3,3
"615",2,3
"616",3,3
"617",3,1
"618",3,3
"619",1,3
"620",2,3
"621",2,3
"622",3,3
"623",3,3
"624",3,3
"625",2,2
"626",2,2
"627",3,3
"628",3,2
"629",3,3
"630",2,2
